aac(6')-Ib_2_M23634	Aminoglycoside
aac(6')-Ib11_1_AY136758	Aminoglycoside
aac(6')-30-aac(6')-Ib'_1_AJ584652	Aminoglycoside
aac(6')-Iaj_1_AB709942	Aminoglycoside
aac(6')-Ian_1_AP014611	Aminoglycoside
aac(6')-Iak_1_AB894482	Aminoglycoside
aac(6')-Ib-Hangzhou_1_FJ503047	Aminoglycoside
aac(6')-Ib-Suzhou_1_EU085533	Aminoglycoside
aac(6')-Iid_1_AJ584700	Aminoglycoside
aac(6')-Iih_1_AJ584701	Aminoglycoside
aac(6')-Iz_2_AB971834	Aminoglycoside
aac(6')-29b_1_AF263519	Aminoglycoside
aac(6')-29a_1_AF263519	Aminoglycoside
aac(6')-Iaa_1_NC_003197	Aminoglycoside
aac(6')-Ih_2_KT778788	Aminoglycoside
aac(6')-Ix_1_AF031332	Aminoglycoside
aac(6')-Il_1_U13880	Aminoglycoside
aac(6')-Ia_2_M86913	Aminoglycoside
aac(6')-Iag_1_AB472901	Aminoglycoside
aac(2')-IIa_1_AB669090	Aminoglycoside
kamB_1_AJ629123	Aminoglycoside
grmO_1_AY524043	Aminoglycoside
fmrO_1_Q08325	Aminoglycoside
grmB_1_M55521	Aminoglycoside
grmA_1_M55520	Aminoglycoside
kgmB_1_S60108	Aminoglycoside
sgm_1_M87057	Aminoglycoside
aph(3')-VI_2_APPJ01000012	Aminoglycoside
aph(3')-IX_1_APPN01000061	Aminoglycoside
ant(6)-Ia_5_AB247327	Aminoglycoside
aadA13_2_NC010643	Aminoglycoside
aadA11_2_AJ567827	Aminoglycoside
aadA10_2_AM087405	Aminoglycoside
aadA7_2_AB114632	Aminoglycoside
aadA2_1_NC_010870	Aminoglycoside
aadD_2_M19465	Aminoglycoside
aph(2'')-Ib_2_AF207840	Aminoglycoside
aph(7'')-Ia_1_X03615	Aminoglycoside
aph(9)-Ia_2_CR628337	Aminoglycoside
aph(6)-Ia_2_Y00459	Aminoglycoside
aph(6)-Id_1_M28829	Aminoglycoside
aph(6)-Id_3_AB109805	Aminoglycoside
aph(6)-Id_4_CP000971	Aminoglycoside
aph(6)-Id_5_18676889	Aminoglycoside
aph(3'')-Ia_2_AP009493	Aminoglycoside
aph(3'')-Ia_3_M37378	Aminoglycoside
aph(3'')-Ib_1_M28829	Aminoglycoside
aph(3'')-Ib_3_AF321550	Aminoglycoside
aph(3'')-Ib_4_AF313472	Aminoglycoside
aadE-Cc_1_CP013733	Aminoglycoside
ant(2'')-Ia_2_JF826500	Aminoglycoside
