Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes

Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
scaffolds_gt1000bp_ERR2597538.bin.1	53.26	1.58	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.10	78.04	2.06	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.11	73.68	4.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.12	52.95	2.81	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.13	7.71	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.14	68.18	1.56	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.15	8.7	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.16	20.07	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.17	32.46	4.08	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.18	79.13	1.99	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.19	30.57	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.2	37.09	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.20	49.79	6.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.21	90.98	4.86	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.22	15.54	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.23	51.27	0.78	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.24	67.35	1.52	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.25	18.06	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.26	6.36	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.27	6.48	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.28	59.13	0.82	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.29	11.77	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.3	59.69	1.45	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.30	58.16	5.24	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.31	14.99	0.0	Neural Network (Specific Model)	11	None
