genome,completeness,contamination
scaffolds_gt1000bp.bin.1.fa,58.75,2.35
scaffolds_gt1000bp.bin.10.fa,87.77,0.42
scaffolds_gt1000bp.bin.11.fa,7.09,0.01
scaffolds_gt1000bp.bin.12.fa,31.04,0.09
scaffolds_gt1000bp.bin.13.fa,80.97,0.66
scaffolds_gt1000bp.bin.14.fa,12.56,0.0
scaffolds_gt1000bp.bin.15.fa,34.92,0.44
scaffolds_gt1000bp.bin.16.fa,63.05,35.0
scaffolds_gt1000bp.bin.17.fa,81.66,0.4
scaffolds_gt1000bp.bin.18.fa,69.66,1.91
scaffolds_gt1000bp.bin.19.fa,74.82,2.29
scaffolds_gt1000bp.bin.2.fa,82.25,0.46
scaffolds_gt1000bp.bin.20.fa,75.28,10.83
scaffolds_gt1000bp.bin.21.fa,30.92,0.33
scaffolds_gt1000bp.bin.22.fa,17.4,0.32
scaffolds_gt1000bp.bin.23.fa,57.85,3.72
scaffolds_gt1000bp.bin.24.fa,12.3,0.04
scaffolds_gt1000bp.bin.25.fa,22.62,0.0
scaffolds_gt1000bp.bin.26.fa,13.07,0.12
scaffolds_gt1000bp.bin.27.fa,23.66,0.25
scaffolds_gt1000bp.bin.28.fa,26.44,0.2
scaffolds_gt1000bp.bin.29.fa,80.01,3.14
scaffolds_gt1000bp.bin.3.fa,81.06,71.25
scaffolds_gt1000bp.bin.30.fa,15.67,0.0
scaffolds_gt1000bp.bin.31.fa,26.06,0.0
scaffolds_gt1000bp.bin.32.fa,10.46,0.13
scaffolds_gt1000bp.bin.33.fa,71.5,2.34
scaffolds_gt1000bp.bin.34.fa,29.39,0.13
scaffolds_gt1000bp.bin.4.fa,18.46,0.0
scaffolds_gt1000bp.bin.5.fa,28.76,0.82
scaffolds_gt1000bp.bin.6.fa,86.2,0.03
scaffolds_gt1000bp.bin.7.fa,40.61,0.34
scaffolds_gt1000bp.bin.8.fa,52.26,1.23
scaffolds_gt1000bp.bin.9.fa,71.14,3.65
scaffolds_gt1000bp_ERR2597525.bin.1.fa,17.8,0.57
scaffolds_gt1000bp_ERR2597525.bin.10.fa,63.04,3.43
scaffolds_gt1000bp_ERR2597525.bin.100.fa,57.22,1.86
scaffolds_gt1000bp_ERR2597525.bin.101.fa,16.71,0.5
scaffolds_gt1000bp_ERR2597525.bin.102.fa,31.71,0.27
scaffolds_gt1000bp_ERR2597525.bin.103.fa,52.55,1.04
scaffolds_gt1000bp_ERR2597525.bin.104.fa,8.75,0.0
scaffolds_gt1000bp_ERR2597525.bin.105.fa,62.24,1.71
scaffolds_gt1000bp_ERR2597525.bin.106.fa,42.29,0.83
scaffolds_gt1000bp_ERR2597525.bin.107.fa,85.08,2.64
scaffolds_gt1000bp_ERR2597525.bin.108.fa,7.71,0.0
scaffolds_gt1000bp_ERR2597525.bin.109.fa,13.49,0.07
scaffolds_gt1000bp_ERR2597525.bin.11.fa,100.0,98.36
scaffolds_gt1000bp_ERR2597525.bin.110.fa,41.48,0.6
scaffolds_gt1000bp_ERR2597525.bin.111.fa,42.96,8.06
scaffolds_gt1000bp_ERR2597525.bin.112.fa,12.65,0.0
scaffolds_gt1000bp_ERR2597525.bin.113.fa,35.26,0.16
scaffolds_gt1000bp_ERR2597525.bin.114.fa,56.98,3.68
scaffolds_gt1000bp_ERR2597525.bin.115.fa,38.69,2.4
scaffolds_gt1000bp_ERR2597525.bin.116.fa,37.37,0.14
scaffolds_gt1000bp_ERR2597525.bin.117.fa,25.31,1.94
scaffolds_gt1000bp_ERR2597525.bin.118.fa,65.48,2.66
scaffolds_gt1000bp_ERR2597525.bin.119.fa,49.39,0.51
scaffolds_gt1000bp_ERR2597525.bin.12.fa,73.47,9.3
scaffolds_gt1000bp_ERR2597525.bin.120.fa,44.19,0.22
scaffolds_gt1000bp_ERR2597525.bin.121.fa,67.14,2.72
scaffolds_gt1000bp_ERR2597525.bin.122.fa,30.26,0.03
scaffolds_gt1000bp_ERR2597525.bin.123.fa,71.36,21.88
scaffolds_gt1000bp_ERR2597525.bin.124.fa,77.47,2.74
scaffolds_gt1000bp_ERR2597525.bin.125.fa,39.38,7.98
scaffolds_gt1000bp_ERR2597525.bin.126.fa,57.1,2.69
scaffolds_gt1000bp_ERR2597525.bin.127.fa,52.54,2.06
scaffolds_gt1000bp_ERR2597525.bin.128.fa,67.45,1.83
scaffolds_gt1000bp_ERR2597525.bin.129.fa,20.68,0.66
scaffolds_gt1000bp_ERR2597525.bin.13.fa,18.75,0.47
scaffolds_gt1000bp_ERR2597525.bin.130.fa,64.39,2.79
scaffolds_gt1000bp_ERR2597525.bin.131.fa,47.58,0.34
scaffolds_gt1000bp_ERR2597525.bin.132.fa,18.05,0.02
scaffolds_gt1000bp_ERR2597525.bin.133.fa,10.89,0.0
scaffolds_gt1000bp_ERR2597525.bin.134.fa,29.03,0.52
scaffolds_gt1000bp_ERR2597525.bin.135.fa,13.3,0.13
scaffolds_gt1000bp_ERR2597525.bin.136.fa,73.91,25.12
scaffolds_gt1000bp_ERR2597525.bin.137.fa,54.62,6.88
scaffolds_gt1000bp_ERR2597525.bin.138.fa,9.32,0.0
scaffolds_gt1000bp_ERR2597525.bin.139.fa,30.51,0.1
scaffolds_gt1000bp_ERR2597525.bin.14.fa,55.63,1.96
scaffolds_gt1000bp_ERR2597525.bin.140.fa,61.84,0.44
scaffolds_gt1000bp_ERR2597525.bin.141.fa,67.38,2.49
scaffolds_gt1000bp_ERR2597525.bin.142.fa,49.55,4.28
scaffolds_gt1000bp_ERR2597525.bin.143.fa,56.18,6.15
scaffolds_gt1000bp_ERR2597525.bin.144.fa,58.91,6.01
scaffolds_gt1000bp_ERR2597525.bin.145.fa,5.88,0.01
scaffolds_gt1000bp_ERR2597525.bin.146.fa,81.5,0.06
scaffolds_gt1000bp_ERR2597525.bin.147.fa,38.63,4.13
scaffolds_gt1000bp_ERR2597525.bin.148.fa,84.54,5.23
scaffolds_gt1000bp_ERR2597525.bin.149.fa,68.4,4.18
scaffolds_gt1000bp_ERR2597525.bin.15.fa,39.99,0.72
scaffolds_gt1000bp_ERR2597525.bin.150.fa,85.08,2.76
scaffolds_gt1000bp_ERR2597525.bin.151.fa,6.52,0.0
scaffolds_gt1000bp_ERR2597525.bin.152.fa,78.68,1.69
scaffolds_gt1000bp_ERR2597525.bin.153.fa,20.87,1.7
scaffolds_gt1000bp_ERR2597525.bin.154.fa,53.32,13.62
scaffolds_gt1000bp_ERR2597525.bin.155.fa,5.78,0.0
scaffolds_gt1000bp_ERR2597525.bin.156.fa,92.83,0.08
scaffolds_gt1000bp_ERR2597525.bin.157.fa,9.68,0.0
scaffolds_gt1000bp_ERR2597525.bin.158.fa,69.51,9.85
scaffolds_gt1000bp_ERR2597525.bin.159.fa,37.64,0.06
scaffolds_gt1000bp_ERR2597525.bin.16.fa,60.06,0.4
scaffolds_gt1000bp_ERR2597525.bin.160.fa,7.13,0.09
